id_pensiones;nombre_pensiones
230201;ADMINISTRADORA DE FONDOS DE PENSIONES Y CESANTIA PROTECCION SA
230301;SOCIEDAD ADMINISTRADORA DE FONDOS DE PENSIONES Y CESANTIAS PORVENIR SA
230901;OLD MUTUAL ADMINISTRADORA DE FONDOS DE PENSIONES Y CESANTIAS SA
230904;OLD MUTUAL ALTERNATIVO 
231001;COMPAÑIA COLOMBIANA ADMINISTRADORA DE FONDOS DE PENSIONES Y CESANTIAS SA COLFONDOS
250014 ;Administradora Colombiana de Pensiones – COLPENSIONES
250002;CAJA DE AUXILIOS Y PRESTACIONES DE LA ASOCIACION COLOMBIANA DE AVIADORES CIVILES ACDAC CAXDAC
250003;FONDO DE PREVISION SOCIAL DEL CONGRESO DE LA REPUBLICA FONPRECON
250007;25-7 PENSIONES DE ANTIOQUIA
